,text_tweet,username,syllables,periods,hyphens,commas,semicolons,exclamations,questions,quotes,dollars,percentages,ands,asterisks,pluses,equals,slashes,hashes,replies,retweets,links,smiles,bigsmiles,winks,bigwinks,unsures
15,grateful that @firefox saved my entries for a fellowship i was applying for even tho i closed the window bc i didn’t have another copy 😳,_AllisonMathews,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,Apparently I quadruple booked myself yesterday. SMH. It was definitely a day. But today is a new day!,_AllisonMathews,31,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Just got reenergized by our @CEDNC VMS mentor meeting!! #DigitalLinCS is on the way! #leggo @mhawley_unc @AfroRedCurls @_CESGlobal,_AllisonMathews,33,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0
18,Today's reflection: be ok with not being at everything and meeting every commitment. Also,_AllisonMathews,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,On the brink of dark and light. Somewhere near the North Pole. https://t.co/zCHONQaQSo,_AllisonMathews,20,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
20,Perfect send off to an amazing week in Guangzhou!! I'll miss you and I'll be back!! #china… https://t.co/xFUJiAEOVc,_AllisonMathews,25,1,0,0,0,4,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0
21,Good morning from #Shenzhen @ Shenzhen,_AllisonMathews,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
22,He's a good sport for indulging my shenanigans lol. My boss,_AllisonMathews,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Filipino band singing country music in China. Talk about international. #guangzhou #china https://t.co/HgSAjOSI48,_AllisonMathews,30,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0
24,Greenland. https://t.co/ZB0aS1a9AV,_AllisonMathews,6,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
25,Mongolia. https://t.co/xNr91N0ipe,_AllisonMathews,5,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
26,I think I might actually like this grass cutting thing. #electricmower #exercise… https://t.co/RI6tpwcllz,_AllisonMathews,25,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0
27,Watch the #LoveDish episode ft #2BeatHIV @AuthorKSLewis_ &amp  @BedroomKandi Rep Travis!… https://t.co/Eczas514dq,_AllisonMathews,26,1,0,0,0,1,0,0,0,0,0,0,0,0,3,2,2,0,1,0,0,0,0,0
28,Did y’all see it yet??!! Let me know what you think! #2BeatHIV #condoms #HIV #engagement #safesex #babyarm https://t.co/IBL6Cwo7JG,_AllisonMathews,29,1,0,0,0,3,2,0,0,0,0,0,0,0,3,6,0,0,1,0,0,0,0,0
29,Such a blessing to be featured on the show! Good luck on Season 8! https://t.co/Mi2DsYuiKz,_AllisonMathews,20,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
30,@Wizdomisms Thank you!!,_AllisonMathews,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,I am honored to announce that I have been selected as a semi-finalist for the NC Department of… https://t.co/s7VKo218pB,_AllisonMathews,32,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
32,Are y'all ready for @brwn_iz and I talking about love,_AllisonMathews,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33,So much fun tonight at @poetryvshiphop with @theluxblognc @dasanahanu and so many amazing… https://t.co/3w3SYyHTix,_AllisonMathews,29,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0
34,@poetryvshiphop @dasanahanu posing for the cameras #durm @ The Pinhook https://t.co/7qosLPCVny,_AllisonMathews,23,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,1,0,0,0,0,0
35,For all my undergrads!! https://t.co/nC5RlJTPvl,_AllisonMathews,7,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
36,Paradise. @ Sanitary Fish Market &amp  Restaurant https://t.co/zwr4vwr6Q6,_AllisonMathews,16,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0
37,Ayah is a magnificent story teller. Enjoyed tonight's outting to celebrate the history of Hayti… https://t.co/Cp9FcuXOUN,_AllisonMathews,32,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
38,@freedomclay https://t.co/V2e1ln5h7W,_AllisonMathews,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0
39,Join us Tuesday 9/5 7-8:30p for beyucaffe's Be Connected event with Dr Kia Caldwell in… https://t.co/Zcb3fjlvQ8,_AllisonMathews,20,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
40,Hey folks! Make sure you get your summer 2017 copy of @prevailingwmag magazine! My article is… https://t.co/VfoShb6NZ6,_AllisonMathews,29,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0
41,I can hardly believe it's been nearly 10 years of friendship and he's turning 45 in a week!!… https://t.co/a7Vvalbgdc,_AllisonMathews,25,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
42,Thank you!!! https://t.co/WAZDB2M3pI,_AllisonMathews,5,1,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
43,Things that made me smile today 😁😁😁😁🤓🤓🤓🤓🤗🤗🤗🤗 #2BeatHIV #publications #academia @ 2beathiv https://t.co/JS088YXVZm,_AllisonMathews,23,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,1,0,0,0,0,0
44,Repost from @2beathiv using repostregramapp - On the set of #lovedish with @brwn_iz for… https://t.co/dZ3ha4uXH2,_AllisonMathews,25,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,0,0,0,0,0
45,Hey folks! Help me wish my dear friend @prettyfabwriter a happy birthday!! She has been a… https://t.co/qqS1R1Uqa3,_AllisonMathews,25,1,0,0,0,3,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0
46,When you're in Texas,_AllisonMathews,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Who thinks to decorate the inside of a closet? allegro_16 does. #design #interiordesign #home… https://t.co/FhQxwfblFU,_AllisonMathews,30,2,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0
48,Taking time to reflect and recharge. In the company of giants. #southafrica #travelnoire… https://t.co/MCd4vQ2jYm,_AllisonMathews,28,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0
49,In blinding light,_AllisonMathews,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,That's a wrap on Joburg. Next up,_AllisonMathews,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,One of the mobile clinics that provides services to communities in their neighborhoods,_AllisonMathews,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Layover explorations. My favorite store in London is Harrods!! @ Heathrow Terminal 5 https://t.co/Mgj0CVEf5M,_AllisonMathews,26,2,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0
53,Made it to London. @ Heathrow Terminal 5 https://t.co/7oD8tVN8we,_AllisonMathews,13,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0
54,Here I go on my crazy world tour for #summer17 #catchmeifyoucan #london #johannesburg #baltimore… https://t.co/GNmDiX64z4,_AllisonMathews,29,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,1,0,0,0,0,0
55,#rhythmofrace #art #poetry #science @ North Carolina Museum of Natural Sciences https://t.co/871rLHnSAY,_AllisonMathews,24,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,1,0,0,0,0,0
56,#durm #lovedurm @ The Durham Hotel https://t.co/Da50LZex4q,_AllisonMathews,12,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,0,0,0,0,0
57,I'm honored to be introducing the Mistress of Ceremony at the Chapel Hill-Carrboro Area Alumnae… https://t.co/fk99uuHHwR,_AllisonMathews,33,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
58,#CEO #cesglobal #workinghard #socialventure #consulting #tech #health #community #expert… https://t.co/4nRIAU8YOo,_AllisonMathews,26,1,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,1,0,0,0,0,0
59,That moment when... #hoodingceremony #phd #uncchapelhill #tarheels #sigmaphibeta #sociology… https://t.co/b2ifOv8YqK,_AllisonMathews,29,4,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,1,0,0,0,0,0
60,DJ Premier @moogfest #durm #hiphop @ Motorco https://t.co/AbuSEndoxq,_AllisonMathews,15,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,1,0,0,0,0,0
61,#durm #king @weareking @moogfest @ Motorco https://t.co/9Wm6og3XFy,_AllisonMathews,13,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,1,0,0,0,0,0
62,Somebody's baby got me sick in the spring 😒 @AfroRedCurls #butitwasworthit #afrobabies #lake #mothersday,_AllisonMathews,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
63,Sunday sundown at Falls Lake #lovedurm #photography #spring #durm #iphone7 #amphotography https://t.co/DyxXi4rq2f,_AllisonMathews,28,1,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,1,0,0,0,0,0
64,Happy Mother's Day to my beautiful sister,_AllisonMathews,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,My momma is fabulous,_AllisonMathews,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,This dude graduated today. #drfoster very proud of him. Got to document him &amp I his family all… https://t.co/gwqD6iKRe4,_AllisonMathews,31,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0
67,I love this city. #durm #amphotography #photography #iphone7 https://t.co/q25Z7wRRpL,_AllisonMathews,20,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0,0,0
68,Yes!!! https://t.co/hJkaBTy5o7,_AllisonMathews,5,1,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
69,I thought it would be happening another way,_AllisonMathews,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Proud of my cousin @BarberToStars for 20 years as a successful business owner. He has been so… https://t.co/7B0Ia1Q8et,_AllisonMathews,28,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0
71,@c19Craig Thanks for the follow! I’ll be in London in June. Maybe we should talk,_AllisonMathews,19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,THIS! https://t.co/h5pXxZMCI5,_AllisonMathews,3,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
73,Big Announcement! @_CESGlobal selected to join @CEDNC Venture Mentoring Service! #hbcugrads #nc #socialenterprise… https://t.co/g9VtLkf7qo,_AllisonMathews,33,1,0,0,0,2,0,0,0,0,0,0,0,0,3,3,2,0,1,0,0,0,0,0
74,Enjoyed seeing Sorors @pledgevd and spectacularmag Phyllis Coley @theaocproject last night!… https://t.co/ntojtQ7Kfh,_AllisonMathews,24,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0
75,theofficial_rakim at @theaocproject @theluxblognc https://t.co/LmkcSJAOte,_AllisonMathews,14,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0
76,Oh that's just @cscottjazz and us posing for our annual @theaocproject photo @theluxblognc @… https://t.co/9pMfg2zLf3,_AllisonMathews,22,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,1,0,0,0,0,0
77,@goapele @pharoahemonch @theaocproject @theluxblognc @ Durham Armory https://t.co/CTzhb5Akh5,_AllisonMathews,20,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,1,0,0,0,0,0
78,Waiting for rakim @thedurhamarmory @theaocproject @theluxblognc https://t.co/yPFdlKB20V,_AllisonMathews,19,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0
79,Cypher with @thespaceblack #dope @theaocproject @ CCB Plaza https://t.co/nZPR023Kqi,_AllisonMathews,16,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,1,0,0,0,0,0
80,#kooleyhighnc was so dope! @TheSinopsis @theaocproject https://t.co/bmExRwCXeF,_AllisonMathews,17,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,0,1,0,0,0,0,0
81,Thank you to @TherealTaraji for supporting our efforts to raise awareness about HIV Cure… https://t.co/TbmILKGDdz,_AllisonMathews,29,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0
82,#tbt such a pleasure to meet the gracious @TherealTaraji last weekend at #womensempowerment!… https://t.co/xAV5dbR8Wg,_AllisonMathews,27,1,0,0,0,1,0,0,0,0,0,0,0,0,3,2,1,0,1,0,0,0,0,0
83,It takes courage to choose the road less traveled. Some may doubt/fear u. What an awesome thing to stand firmly in… https://t.co/KMmsCh9y08,_AllisonMathews,35,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
84,They must have been thinking of me--&gt  The Buffett Family Has Donated $90M To Women Of Color https://t.co/6pvIMqijnf,_AllisonMathews,28,1,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
85,@hedwig_lee @essie4justice @SoffiyahElijah yes i heard about this!! i need to get on that application ASAP lol #goals,_AllisonMathews,33,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
86,It takes a lot of courage to choose the road less traveled. Often you may find yourself being… https://t.co/hdkN9wVPcO,_AllisonMathews,28,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
87,#keynote #CEO #researcher #crowdsourcing #socialventure #tech #company #hiv #healthequity #ethics #HENRIETTALACKS https://t.co/15f4Bkek9N,_AllisonMathews,32,1,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,1,0,0,0,0,0
88,Thanks for the RT!! https://t.co/6knscePdwl,_AllisonMathews,5,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0
89,Check out my article and ad for me as a keynote speaker published in the inaugural issue of @prevailingwmag! Photo… https://t.co/ct58QnKCdQ,_AllisonMathews,36,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0
90,Check out my article published in the inaugural issue of @prevailingwmag!!… https://t.co/NVixRabmxQ,_AllisonMathews,25,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0
91,🤦🏽‍♀️ this is what I mean when I say know your values &amp  core customer base #iaintnosellout @_CESGlobal… https://t.co/yHiRQ1fved,_AllisonMathews,31,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0
92,Check out my @sched for Art of Cool Fest 2017 @theaocproject                     https://t.co/qWEGDWlDBd,_AllisonMathews,14,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0
93,@NewBlackMan @2BeatHIV @LeftOfBlack @jhfcduke thanks for sharing!,_AllisonMathews,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
94,@ProfCandis thanks for the RT! Let me know what you think,_AllisonMathews,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
95,@IMEUNC thank you!!,_AllisonMathews,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
96,Enjoyed sitting next to and chatting with Representative MaryAnn Black @dukemedglobal @uncglobal #publichealth… https://t.co/G7V3jt4DVh,_AllisonMathews,31,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,0,0,0,0,0
97,@MsVivicaFox talks ab sacrifice,_AllisonMathews,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
98,A huge thank you to Hair Therapy by Janae for styling my hair and look for @WomensEMP #2BeatHIV #CES #CEO #boss… https://t.co/VV24MAOVw9,_AllisonMathews,31,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,1,0,0,0,0,0
99,https://t.co/QKcrFhcwR0 https://t.co/4Iqc9jCaEj,_AllisonMathews,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0
100,Looking for a bae during @theaocproject or just to network with other professionals? Buy your tix to @theluxblognc… https://t.co/ufN5PfCv6U,_AllisonMathews,32,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0
101,"I'm looking forward to speaking at the @unc_amwho ""Snack and Learn"" tonight! https://t.co/9SbKY2SD1Z",_AllisonMathews,20,1,0,0,0,1,0,2,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0
102,Are you worth the risk? 11 tips on becoming financially stable to launch your company https://t.co/8ePEmN7Gfd https://t.co/AWM7b5ZzYy,_AllisonMathews,29,2,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0
103,“RU worth the risk? 11 tips on financial security to launch ur company” #entrepreneurship #tech #money #investment… https://t.co/wPvVikBa67,_AllisonMathews,33,1,0,0,0,0,1,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0,0,0
104,@marybethgasman I enjoyed meeting you and hearing your candid assessment of academia for people of color. Trying to keep hope alive,_AllisonMathews,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
105,Woah. @_CESGlobal is working to fix that. https://t.co/zXunG3i1DO,_AllisonMathews,14,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0
106,@_reinarose_ late. Lol. Grad school will do that to you,_AllisonMathews,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
107,Thank you! https://t.co/mozjLWugim,_AllisonMathews,6,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
108,"New blog! ""I Ain't No Sell Out: Be Intentional About Your #Company's Mission"" #Blackentrepreneur #money… https://t.co/tMN91t3rdn",_AllisonMathews,28,1,0,0,0,1,0,2,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0
109,thank you for being so supportive of our work! https://t.co/UDHrSc972q,_AllisonMathews,14,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
110,Make sure to catch @PrettyFabWriter and @_AllisonMathews at @WomensEMP @PNCArena 4/22!! #Entrepreneurship… https://t.co/yxFwEYNzXq,_AllisonMathews,32,1,0,0,0,2,0,0,0,0,0,0,0,0,4,1,4,0,1,0,0,0,0,0
111,Introducing my sweet sweet Soror,_AllisonMathews,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Celebrating freedom. #dc #dcemancipationday #april8 @ Freedom Plaza https://t.co/EJj6r50AJe,_AllisonMathews,21,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,1,0,0,0,0,0
113,I'm excited to announce the launch of my consulting company @_CESGlobal!! Check us out! https://t.co/a5qNF9N5Gt,_AllisonMathews,26,1,0,0,0,3,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0
114,Yay Damon!! @AfroRedCurls I see your photography skills shining :) https://t.co/vR5MEyQGUl,_AllisonMathews,20,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0
115,Build it and they will come. #ase #CES #Communityexpertsolutions #socialenterprise,_AllisonMathews,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
116,Yeahhhhhhhhh! #1 #unc #tarheels #nationalchampions #ncaa #gdtbath https://t.co/eVtyvjKhV2,_AllisonMathews,14,1,0,0,0,1,0,0,0,0,0,0,0,0,3,6,0,0,1,0,0,0,0,0
117,Struggling to get off this couch to go watch this game... I'll brace the rain just for my #tarheels #GDTBATH,_AllisonMathews,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
118,Squad. Been tight since 2010... Thinking of a master plan. #CES #communityexpertsolutions https://t.co/wDCM3tKnpt,_AllisonMathews,22,6,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0
119,Serving Carmen Jones realness on this gorgeous Sunday 😘 Can't wait to see these photos by… https://t.co/fyDTJydVVd,_AllisonMathews,26,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
120,@uncglobalhealth @NewBlackMan @2BeatHIV thank you for your continued support of our work!,_AllisonMathews,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
121,It was great to have dinner with our PIs (bosses),_AllisonMathews,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,#crowdsourcing https://t.co/hpBrvq20vs,_AllisonMathews,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0
123,@helping_change @PPeriod good luck Dr. Jackson!!,_AllisonMathews,10,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
124,thank you!! https://t.co/svsvDc8Iyj,_AllisonMathews,4,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
125,@carlpickney06 thank you again for all that you do to support my work!!,_AllisonMathews,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
126,Grateful for strong relationships and creating new ones for the future!! #bigthingscoming #CES #communityexpertsolutions,_AllisonMathews,33,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
127,Honored to be featured in @TheMSexReport for #WomensHistoryMonth !! #2beathiv #crowdsourcing https://t.co/rjbPLEyu7v https://t.co/VhT9Det17J,_AllisonMathews,29,2,0,0,0,2,0,0,0,0,0,0,0,0,6,3,1,0,2,0,0,0,0,0
128,Honored to be featured in @TheMSexReport for #womenshistorymonth!! Check out my interview with… https://t.co/ChtThjQjvm,_AllisonMathews,28,1,0,0,0,2,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0
129,Go Alex,_AllisonMathews,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,thanks for the advice! https://t.co/BMT8FJzoAk,_AllisonMathews,8,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
131,thank you for this advice! https://t.co/XvqZ2HtiPe,_AllisonMathews,9,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
132,AMEN to this! https://t.co/KAL6LgrSK0,_AllisonMathews,6,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
133,@sbagov how do other women entrepreneurs manage bias when negotiating deals/contracts? #sbachat,_AllisonMathews,26,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
134,no problem! https://t.co/Cx2kYbQd00,_AllisonMathews,5,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
135,I made mistake of taking on volunteers without vetting them. NEVER AGAIN! Ask ab their vision,_AllisonMathews,27,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Talk to other people,_AllisonMathews,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
