# CSV-Datei erstellt auf csv-zusammenfuehren.de
# -----------------------------------------------------------

username,text_tweet
WhoIsHLM,Thank you @ncatocs for another successful and record career fair. 43 years and countless professional connections. #AggiesDo
WhoIsHLM,"Best wishes at the #NCAT career fair. Remember ""Opportunities are like sunrises. If you wait too long, you miss them."" - William Arthur Ward"
WhoIsHLM,"Thank you, @lisaling @angela_rye &amp  @itsgabrielleu for an outstanding conversation at #NCATCTH.  It was an energizing event for our campus."
WhoIsHLM,I’m honored to welcome @angela_rye @lisaling and @itsgabrielleu to #Aggieland for #NCATCTH today. https://t.co/w92VHcxILr
WhoIsHLM,#NCAT students Career Awareness Fair 2017 is tomorrow.  Please take advantage of the incredible opportunity. https://t.co/LysrueXl1Z
WhoIsHLM,"#NCAT students, stop by ACB 107 tonight to learn more about co-ops and internships. Kudos to @ncatocs. #AggiesDO https://t.co/eGfhZ8vw2k"
WhoIsHLM,"#NCAT Aggies please help those in need by donating toiletry items. For every five items you donate, you will be ent… https://t.co/R2VPCxAd2I"
WhoIsHLM,#NCAT is partnering with #EastGreensboro neighbor @BennettCollege to host @HBCUPreLawEvent https://t.co/Qf0C40pf3f https://t.co/JTLHHSlMlM
WhoIsHLM,Welcome #NCAT #Aggie families to Aggie Family Weekend. Enjoy yourselves. Ask questions. Participate in the parent forum. #AggiePride
WhoIsHLM,Enjoyed dinner tonight with the #NCAT SGA E-Board and Royal Court.  Outstanding student leaders. https://t.co/ozHUlOG9cA
WhoIsHLM,Congrats @NCATCOBE1 leading in underrepresented minority faculty for U.S. biz schools. https://t.co/P3sQ9JAtvP #Preeminence2020 #HigherEd
WhoIsHLM,We’re one week from the #NCATCTH featuring @itsgabrielleu @angela_rye &amp  @lisaling. The discussion is sure to be thought provoking.
WhoIsHLM,Happy Labor Day #AggiesDo #NCAT https://t.co/ce4xvTyqcT
WhoIsHLM,Let's go @ncatsuaggies!  It's GameDay!  #NCAT vs #Gardner-Webb.  @ncatsualumni
WhoIsHLM,An interdisciplinary team at #NCAT is using an @NSF grant to explore food insecurity. https://t.co/QiiMBbgKu5. Important research.
WhoIsHLM,"Thank you Dr. James Ryan, founding dean of @JSNN2907, for your dedication and service to #NCAT and @UNCG. https://t.co/gCwAtbIDLC"
WhoIsHLM,"Did you hear? #NCAT has the largest enrollment in university history w/ 11,877 students! Read more here: https://t.co/q0gH4Wzuyk #AggiesDO"
WhoIsHLM,Astounding Alzheimer’s research by @COAACHHealth_NC at #NCAT is using multiple approaches to finding a cure. https://t.co/jQGa0djRmy
WhoIsHLM,#NCAT is proud to be in great partnership with @STEMEC_NCAT. The rigorous courses pave a way for college excellence https://t.co/htKsQt1uep
WhoIsHLM,Congrats to #NCAT alumni Chief Justice Henry Frye and Mitchell Martin being inducted into @NBCA_HOF. https://t.co/eddGBK47AG
WhoIsHLM,Heard about the new merit scholarship at #NCAT?  The first class of the Cheatham-White Scholars comes next fall. https://t.co/BJFpWgOckw
WhoIsHLM,The #NCAT men’s golf team will tee off its inaugural season Sept. 18. This is history in the making. https://t.co/EvX9HL6jvu
WhoIsHLM,Kudos to our neighbors at E. Market St. Seventh Day Adventist Church &amp  their commitment to feeding #EastGreensboro https://t.co/JdeTlQlHmd
WhoIsHLM,Longstanding questions remain about how to handle coal ash. #NCAT researchers are fueling answers. https://t.co/oOm5DO7pxM #AggiesDiscover
WhoIsHLM,"Interesting read. https://t.co/yBmB5uiJED. @USNewsEducation asks are investments in #STEM Ed working? Yes  of course, more work is required."
WhoIsHLM,This group of #NCAT students just might solve our country’s healthcare issues. What makes them qualified? Read https://t.co/PS1vOgiZJp.
WhoIsHLM,An #NCAT physics team is headed to @BenedictEDU for a direct view of the #solareclipse. It’s thrilling to see history &amp  #STEM in action.
WhoIsHLM,Record number of #NCAT students from all disciplines participated in internships with our nation's leading global organizations in sum'17.
WhoIsHLM,"Make your way to Aggie Stadium today. @NCATAGGIES FunFest is back. Presenting fall sports teams, scrimmage and more https://t.co/1L6RpLCsiS"
WhoIsHLM,Excited to see the addition of @limebike to #NCAT. An affordable and healthy way to travel campus and the community. Maybe I’ll take a ride.
WhoIsHLM,Welcome to #NCAT @Ericthomasbtc. I'm sure our students will be motivated by your presentation.
WhoIsHLM,"I am delighted to welcome @itsgabrielleu, @angela_rye &amp  @lisaling for the Chancellor's Town Hall Series. #NCAT https://t.co/O4BxuH0Cju"
WhoIsHLM,Welcome new and returning students to campus. Your future awaits and it begins today at #NCAT.  Have a great year!  #AggiesAchieve
WhoIsHLM,"First-year students, embrace the Aggie mission as you attend Convocation. #NCAT is a community of learners. We have high expectations of you"
WhoIsHLM,Commercialization of #STEM research continues for #NCAT &amp  @uncg thanks to $500K @nsf grant https://t.co/MPdwHeTfVI
WhoIsHLM,It's never too early to introduce children to #STEMed. Now there's help from Curious George to do it. Read more https://t.co/I7f5bursJ3
WhoIsHLM,@RepMarkWalker joins me on move-in day at #NCAT as we welcome four members of the #NCAT21 class. https://t.co/YrcqzWIyZ0
WhoIsHLM,#NCAT's senior administrators and I look forward to meeting #NCAT21 and their families during move-in tomorrow.
WhoIsHLM,I'm pleased to welcome back our outstanding faculty and dynamic staff for what is sure to be an exciting 2017-18. #NCATOpen #AggiesDO
WhoIsHLM,One week until classes start at #NCAT. Enjoy your last days of summer vacation. You should be ready for a strong start to the semester!
WhoIsHLM,"In the @chronicle, Charles Dorn answers, ""What is College Good For?"" Read more here: https://t.co/2LoSeL8O9V #highered"
WhoIsHLM,.@JohnNewsomNR visited #NCAT last week for a sneak peak of the new Student Center. Take a look: https://t.co/UyHPUe3loz
WhoIsHLM,Great list featuring women in #STEM doing inspirational @TEDTalks. https://t.co/VcVTY3IuNk
WhoIsHLM,Registration is open for the annual Richard E. Moore Aggie Golf Tourn. https://t.co/R2Pn608L08. I’m working on my swing. Any takers? #NCAT
WhoIsHLM,Here’s a great visual aid that details why #STEM matters. https://t.co/eu5FOozNsJ via @visually. We have work to do.
WhoIsHLM,". @NCATCOBE1 was 1st univ. to offer Summer Transportation Institute, creating a nat’l model. Congrats on 25 years!  https://t.co/9pEo6zbyVr"
WhoIsHLM,The countdown is on. #NCAT Fall 2017 classes begin in exactly 2 weeks. Your future awaits. We’re expecting great things #AggiesDO
WhoIsHLM,Interesting data from new study says more degrees are earned at #highered institutions serving minority students https://t.co/XypP60FHMv
WhoIsHLM,Extremely proud of @NCAT_Theatre being featured during renowned @NCBlackRep. https://t.co/RDCM0bwePo. Break a leg Aggies!
WhoIsHLM,#Tech is changing #ed methods. Strategy &amp  efficiency remain critical components. Together they create a powerhouse https://t.co/je1kvs1d0U
WhoIsHLM,"I hear #GIFs are really popular. Here is something interesting, scientists put one inside a living organism’s #DNA. https://t.co/VYXuO7da66"
WhoIsHLM,The boundaries and application of #STEM are expanded daily. From smart parking to security #HigherEd must adapt. https://t.co/i5djrLejkL
WhoIsHLM,I look forward to welcoming back #NCAT faculty and staff for a great year on Aug. 10 for a 2-day #NCATOpen event. https://t.co/O8lxm9wXzm
WhoIsHLM,Wonderful news for @ncatcollegeofed. Thanks to the @tomjoynerfound for this generous gift: https://t.co/LewNF0uGeR #NCAT
WhoIsHLM,Did you hear? #NCAT ranks 2nd among N.C. public universities in early career earnings https://t.co/bXxRgyt0ne @MONEY
WhoIsHLM,"Following a very productive BOT retreat, we’re excited to welcome #NCAT alum Timothy King as the new chairman.  https://t.co/o63x3D8atT"
WhoIsHLM,Congrats to Ted Mitchell on his selection as pres. of @ACEducation &amp  to Molly Corbett Broad on a term well served. https://t.co/G6Z6epOhOL
WhoIsHLM,Great news for @GatewayURP and Core Technology https://t.co/525jbaagFJ #NCATNews
WhoIsHLM,"4 spot-on guiding principles not only for expanding #SiliconValley #diversity, but diversity in all workplaces. https://t.co/QrllOMOLgD"
WhoIsHLM,"Watch what happens when @ncataggies coaches swap sports. Give it your best, Coach! #AggiesDo https://t.co/jLX6j1UeRU"
WhoIsHLM,"#NCAT welcomes Calvin Brodie, Paul Jones, Joseph Parker Jr., George Mainor &amp  alum @hilda_pinnix to the BOT.  We are excited to get to work!"
WhoIsHLM,#Alz disproportionately affects African Americans. @COAACHHealth_NC is working to close the gap - listen: https://t.co/y40Q9h3Idv #AggiesDO
WhoIsHLM,Good news @ncatsuaggies: We received one of the #NIFA capacity-building grants to #LandGrant univs. from @USDA. https://t.co/4ZXewfeqom
WhoIsHLM,"Thanks to @NCATNSP for an outstanding series of #NCATNSO. #NCAT21, we will see you on Aug. 12 for Freshman Move In."
WhoIsHLM,Who says energy sustainability has to be dull? #China’s newest solar farm provides power and makes you smile. https://t.co/LAutNpLxqq
WhoIsHLM,"Kudos to @ncatsuaggies athletics staff for working w/ @ootgp, packing meals for children in need. #AggiesAllIn https://t.co/m1bydWVp1s"
WhoIsHLM,"#NCAT faculty researchers are paving the way to success – literally, in this case, trading pig waste for petroleum. https://t.co/bF0xVoDYe2"
WhoIsHLM,"As the #1 producer of African-American engineers, we at #NCAT applaud @GM CEO @mtbarra’s advocacy for diversity. https://t.co/bxhAv2GTes"
WhoIsHLM,@sikeraalston @ncatsuaggies It is certainly a wonderful picture.  Thanks for sharing.
WhoIsHLM,Outstanding research and innovation are taking place across N.C. Universities are leading the way. #AggiesInnovate https://t.co/s2R15srkRL
WhoIsHLM,@made4Akingonly I am very pleased to hear that your son enjoyed his experience as a participant in our Aggie Enrich… https://t.co/bSRPxzWd5R
WhoIsHLM,"Welcome, new members of the #NCAT Cooperative Extension advisory panel. Your svc. is vital to our statewide focus. https://t.co/mWnyN0yQ9s"
WhoIsHLM,Aggie Enrichment Camps begin today. Excited to see students learning via #NCAT #STEAM instruction &amp  activities. https://t.co/SVgiYbeHjU
WhoIsHLM,Ingenious device created by 11-year old will undoubtedly save lives. https://t.co/wr7L5wYwAp. So much of our future depends on #STEM ed.
WhoIsHLM,".@COENCAT’s new 1-year Engineering MS degrees provide a fantastic option for professional development, expertise. https://t.co/G0NkSaHvGU"
WhoIsHLM,"Computer science education is as essential as reading, writing and math.  #STEM concepts are K-12 necessities today. https://t.co/yzNw7Sw3d8"
WhoIsHLM,Interesting data from @EdTech_HigherEd shows increasing enrollment patterns for #onlinestudents. https://t.co/2xR4QV2rL8
WhoIsHLM,Happy Independence Day! Today we celebrate our hard-won freedoms and the opportunity to serve in our own unique way. https://t.co/WUP4tR0W0x
WhoIsHLM,We’re grateful for @Intel’s $1M grant to @ncatsuaggies. It will support @COENCAT student scholarships &amp  research. https://t.co/JuCsxpx0dh
WhoIsHLM,Turns out #HigherEd collaboration raises the bar and for all. https://t.co/HxtHLEs7Jl
WhoIsHLM,ICYMI @coencat alumnus turned #NASA rocket scientist doubles as #BBQ pitmaster on #CookingChannel show. #STEM https://t.co/tvkSmNRiac
WhoIsHLM,@aggie_nurses historic uniforms on display at Wesley Long Hospital celebrating 100th birthday. Magnificent progression for both.
WhoIsHLM,Best wishes to #NCAT students for a successful Second Summer Session.
WhoIsHLM,"@davidedgertonjr David, I look forward to seeing you during the Career Fair this fall.  Enjoy the summer."
WhoIsHLM,@aggie_nurses historic uniforms on display at Wesley Long Hospital celebrating 100th birthday. Magnificent progression for both.
WhoIsHLM,Exciting news for @girlscouts #Cybersecurity badges now provide perfect exposure for future #STEM careers. https://t.co/8IVVal5PJe
WhoIsHLM,Congratulations Dr. Brandis Phillips. Research through your NASBA grant will return dividends for @NCATCOBE1 faculty and students.
WhoIsHLM,@UNC_System @NCCU Congratulations Chancellor Akinleye.  We look forward to working with you.
WhoIsHLM,Congrats to #NCAT's @JBryantHowroyd on being named to @forbes list of America's Richest Self-made Women https://t.co/wzyKFkSV5f #AggiesLead
WhoIsHLM,Exciting news for theater lovers: @triadstage using @NEA grant to bring the #NCATFour story to the stage. https://t.co/60zVZJRTyQ
WhoIsHLM,#studyabroad and international recruitment are vital in the #HigherEd landscape and our increasingly global society. https://t.co/2yfhjeoWia
WhoIsHLM,"Outstanding honor from @DuPont_News for #NCAT @COENCAT Professor Salil Desai. Truly, #AggiesDO! https://t.co/2EjxPTbHET"
WhoIsHLM,#NCAT students participate in the Harvard Business School Summer Venture in Management Program. @HarvardHBS https://t.co/m6dfOH8fJh
WhoIsHLM,"Congratulations to #NCAT staff award recipients X. Carrington, S. Green, R. McNair, B. Lawshe-Jefferson, L. Little. https://t.co/6MbK98nZlG"
WhoIsHLM,"At #NCAT, student-led #Makerspaces bring the classroom to life. https://t.co/EorhG0Xn1F #AggiesInnovate"
WhoIsHLM,#NCAT Energy Research Ctr. sponsored by @ENERGY begins series today teaching K-12 teachers exciting energy concepts https://t.co/ZSWD1nltx4
WhoIsHLM,Congratulations to our own @Cutter_Dyals on being drafted by @Braves in last week's MLB draft. https://t.co/iNkhznjvMW #AggiesDO
WhoIsHLM,"Because of Title IX: Katreshia Louis-Verrett, Associate #NCAT AD/SWA is able to help others realize their dreams. https://t.co/HzEvbvvI7F"
WhoIsHLM,"Thanks, @DukeEnergy! Your $2.7M in grants help @COENCAT and others across NC expand #STEM educational opportunities. https://t.co/ymVF1wj8Dr"
WhoIsHLM,Looking forward to welcoming #NCAT21 this Thurs. for #NCATNSO and the launch of their adventure at A&amp T! https://t.co/O3vwwyu26D #Flight1891
WhoIsHLM,It’s never too early for #STEM education. Click to learn about some of the long-term effects of #STEMed. https://t.co/71cdIVLveQ
WhoIsHLM,Aggie Enrichment &amp  Departmental Summer Camps begin Monday. We're excited to share what #NCAT has to offer with area K-12 students. #AggiesDO
WhoIsHLM,A historical marker honoring the B-1 Navy Band was unveiled in Chapel Hill recently. Read more: https://t.co/TleDe5TZo6 #NCAT #AggiesDO
WhoIsHLM,.@APLU_News President Peter McPherson says college students are changing and our policies should too. https://t.co/zyiRyXWcOi #highered
WhoIsHLM,Exciting news for #NCAT22. Information about the new Cheatham-White Merit Scholarship is available at https://t.co/LnqFKerOVO #NCAT
WhoIsHLM,"Great news for Gateway University Research Park, which continues to grow in activity and impact. https://t.co/rg8C95N9H3 #NCAT #UNCG"
WhoIsHLM,@slairjordan @Morehouse Yes  he was the current interim president.  Outstanding person.
WhoIsHLM,"#NCAT extends condolences to the @Morehouse Family on the loss of President William ""Bill"" Taggart."
WhoIsHLM,"Fasctinating to read these Qs from 1st-generation college students, as well as the answers from higher ed experts. https://t.co/JlOQEd9pvU"
WhoIsHLM,"We at #NCAT welcome our new trustees: Alumni @hilda_pinnix &amp  Joseph R. Parker Jr., and George D. Mainor. #AggiesDO https://t.co/nJMRwhjUbV"
WhoIsHLM,Congrats to Gregory Horton and @NCAT_Theatre. Their work will be highlighted at the 2017 @NCBlackRep fest. https://t.co/NhkwxCsoNT #AggiesDO
WhoIsHLM,.@NASAJuno is relaying incredible images from Jupiter and expanding the boundaries of science. #STEM https://t.co/muBPZ7yoZg
WhoIsHLM,Great read on #Alz research Dr. Goldie Byrd is leading at @COAACHHealth_NC at #NCAT. #EndAlzheimers
WhoIsHLM,This exploration of ways to boost diversity in the tech industry from @Telebusiness is worth your time - good read. https://t.co/eSzeFCKei4
WhoIsHLM,"True public service journalism from @theobserver, @newsobserver on low-income students &amp  access to advanced classes. https://t.co/68Yqwo9qdG"
WhoIsHLM,Great to see @The107_hbcu rank #NCAT as the nation’s Top #HBCU in #STEM graduates and education. #AggiesDO https://t.co/3EX1Tz54TE
WhoIsHLM,#NCAT is at the leading edge of an important trend: New rankings name us no. 1 among HBCUs in online programs. https://t.co/1g6BgUiK2X
WhoIsHLM,So proud of Ashton Ross &amp  J’laney Jenkins and their big wins at the recent  American College Theater Festival. #NCAT https://t.co/54cYU8Putz
WhoIsHLM,"Today on Memorial Day, we remember &amp  honor the #NCAT alumni and many others who made the ultimate sacrifice for our country. Rest in peace."
WhoIsHLM,Mark Zuckerberg’s address at #Harvard continued a focus on community that framed his town hall at #NCAT.  Read: https://t.co/d1QLjatK2Y
WhoIsHLM,So proud of Ashton Ross &amp  J’laney Jenkins and their big wins at the recent American College Theater Festival. #NCAT https://t.co/54cYU8Putz
WhoIsHLM,"Strong call to action from @daveyalba at @WIRED on diversity in #tech: https://t.co/FeMtupiybO #NCAT students, grads = great place to start."
WhoIsHLM,"Hip hop can be more than entertainment – it can help teach science, as this feature from @DiverseIssues shows. https://t.co/YKZAkCNKcB #STEM"
WhoIsHLM,"Summer vacation starts soon for K-12. @MicrosoftEDU has #STEM lessons, activities to keep students engaged. https://t.co/W8nRUMmGGO  #NCAT"
WhoIsHLM,"From the #NFL to careers in #STEM - an interesting trend, and exciting to see who is involved. @ozy https://t.co/tWPrVGYox4  #NCAT"
WhoIsHLM,Last week's 63rd anniv. of #brownvboard reminds us of progress made and how far we still have to go toward equity.  https://t.co/F2zbLZ8OpO
WhoIsHLM,2/2 That’s why reinstating the year-round #PellGrant was so important &amp  why enhancing Pell is such a worthy goal. https://t.co/lfyNowoZK3
WhoIsHLM,1/2 Summer classes begin today at #NCAT. Students here &amp  elsewhere use them as a strategic opportunity to stay on track toward graduation.
WhoIsHLM,"As @A2Arnett shows, students rely on social media to inform college decisions. We all must step up our social game. https://t.co/DXXyUT6oHw"
WhoIsHLM,"""Lack of #STEM access is a critical equity issue in education..."" I agree, @MjRandazzo. We must do more! https://t.co/LTb3xqPpx6 #NCAT"
WhoIsHLM,Great story: @jdickler on @SylviaAcevedo's encouragement of Girl Scouts to pursue STEM education. https://t.co/XLiR9I9aGa #WomenInSTEM #NCAT
WhoIsHLM,Best wishes to our elected student leaders for a productive retreat. I look forward to a dynamic year! @ncatsga @ncatsuab @NCAT_COP #NCAT
WhoIsHLM,"Congrats again, #NCAT17! Continue to challenge yourselves! Remember, ""Great minds have purposes  others have wishes."" Washington Irving"
WhoIsHLM,Happy #MothersDay.  I hope you are able to spend this special day enjoying time with your families.  #NCAT
WhoIsHLM,Congratulations #NCAT17.  Have a safe and enjoyable commencement weekend. I look forward to celebrating #NCATGrad with you tomorrow. #NCAT
WhoIsHLM,"Congratulations to #NCAT alumna Deanna Cureton, @CharMeckSchools Teacher of the Year. #AggiesEducate https://t.co/kO2oCxiDHM"
WhoIsHLM,"My thoughts &amp  prayers are with the Lofton, @WNAA, @NCATJOMC &amp  Aggie families on the loss of D. Cherie Lofton. https://t.co/4Rt0Np4WfQ #NCAT"
WhoIsHLM,Remarkable work by @TheUndefeated team on this video on @_Twenty8_ &amp  his #NFLDraft experience. #NCAT @ChicagoBears https://t.co/CuB2iakGue
WhoIsHLM,"Best wishes to #NCAT students on your finals this week. As Nelson Mandela so memorably said, ""It always seems impossible until it's done."""
WhoIsHLM,#NCAT Commencement is just 6 days away. We’re all looking forward to hearing from keynote speaker @TheRealLailaAli. https://t.co/C5enSZ1ABF
WhoIsHLM,Great story about @aggie_nurses and their selfless commitment to our community.  https://t.co/92xUoYyCzp #AggiesCare #NCAT
WhoIsHLM,Exciting initiative by @generalelectric to bridge #STEM gender gap: https://t.co/o7FZrxGv8x. We have great candidates at #NCAT! @JeffImmelt
WhoIsHLM,Happy #LDOC to all our #NCAT students. Use your time wisely this weekend to prepare for your exams and finish strong! #AggiesDO
WhoIsHLM,Here’s a must read for STEM pros at #NCAT &amp  elsewhere on keeping students interested from @kamcmahon on @insideHPC. https://t.co/Ha0RuO0Tch
WhoIsHLM,The Veteran Resource Fair offers great help for @NCATStudentVets. Student vets: Take advantage of the opportunity! https://t.co/XBM1xQo3Yt
WhoIsHLM,Having @TheSharkDaymond at #NCAT was a great experience for our students as you can see from this response. #NCAT https://t.co/gjT7w9km2w
WhoIsHLM,Great to see #NCAT alumna/retired business exec @hilda_pinnix as @gradncat keynote. #NCATGrad #AggiesLead https://t.co/RJ4wP9Vl47 #NCATGrad
WhoIsHLM,Tuesday #NCAT proudly supports students who have served: “Making Connections: The Veterans Resource Fair.” https://t.co/QA30BZKyAU a Glance
WhoIsHLM,"Congrats to these #NCAT students who presented their business plans to @TheSharkDaymond, @JBryantHowroyd, and me. https://t.co/SPObjwfwpm"
WhoIsHLM,Thanks very much @TheSharkDaymond for an outstanding conversation with #NCAT students. @ABCSharkTank @JBryantHowroyd https://t.co/0sbU37qycl
WhoIsHLM,Congratulations to #NCAT Honors Program graduating seniors. Remarkable achievements  incredible futures.… https://t.co/nDb8Jfvgf6
WhoIsHLM,"#NCAT students, less than one week of classes remain in the spring semester. Use your time wisely - and good luck!"
WhoIsHLM,"Congrats, @_Twenty8_ on a successful career at #NCAT and on the next steps in your journey. Take #AggiePride with you wherever you go!"
WhoIsHLM,#NCAT welcomes @TheSharkDaymond to Aggieland for the first Chancellor's Speaker Series event. Join the conversation: #DaymondatNCAT
WhoIsHLM,"Congratulations to #NCAT COBE Dean Beryl McEwen, one of this year’s Outstanding Women in Business Award winners! @TriadBizJournal"
WhoIsHLM,Fascinating read from @ESN_Laura on the explosion of artificial intelligence coming to higher ed soon: https://t.co/07v0iUPeU1 @ecampusnews
WhoIsHLM,Great read from @nytimes about the importance of internships: https://t.co/rzRyuiisIF. #NCAT students should reach out to @ncatocs for help.
WhoIsHLM,Thanks to our friends at @ByAshleyStewart for their launch of a $10K scholarship at #NCAT for a young woman leader. https://t.co/swwNYUOfvN
WhoIsHLM,Congratulations to all the 2017 Honors Convocation nominees. Your hard work and achievement inspires us all. #AggiesDO #NCAT
WhoIsHLM,Just one week until the Chancellor's Speaker Series debut featuring @TheSharkDaymond. #entrepreneurship #NCAT https://t.co/SHqZhzAfLk
WhoIsHLM,Congrats to all #NCATGALA nominees. Enjoy your night! #NCAT
WhoIsHLM,Hope you plan to be at Thursday's Big Ideas Conf. w/ Patricia Miller Zollar &amp  @ByAshleyStewart CEO James Rhee. https://t.co/SKQcFD76NY
WhoIsHLM,Great story about Wake County SmartStart feat. former @ncatsga president and #NCAT alum Chris Robinson. https://t.co/DV93TZVoa7
WhoIsHLM,Join us Thurs to hear @byAshleyStewart's James Rhee &amp  Patricia Miller Zollar of Neuberger Berman at Big Ideas Conf. https://t.co/fvt1MfZiUW
WhoIsHLM,Year-round #PellGrants would mean so much for students struggling to meet their education costs. @paulfain https://t.co/AMLKgEI0Zy
WhoIsHLM,Delighted w/ the partnership between #NCAT’s Geomatics Program &amp  @NCEmergency on drone training. #AggiesServe https://t.co/EZVgWZc2kl
WhoIsHLM,"One month from today, the undefeated @TheRealLailaAli will be our keynote for spring #NCATGrad. Read more: https://t.co/m9pVJY909j #NCAT"
WhoIsHLM,"Outstanding student, Angelica Willis, @AngelicaOfEarth, delivered a dynamic message to honor students today at Honor's Convocation. #NCAT"
WhoIsHLM,Honored to host the 2016-17 ACE Fellows on the #NCAT Campus today. @ACEFellowsPro https://t.co/NvPVK3uslY
WhoIsHLM,"An interesting read from @joshmkim about online learning, a strategic growth area for #NCAT. https://t.co/tQ5zmx3tbv."
WhoIsHLM,Great news at #NCAT about our partnership with @byAshleyStewart. Join us on the 20th for the Big Ideas Conference. https://t.co/9yxLWvIsci
WhoIsHLM,Interesting post from @EricStoller on the need of social media in student affairs. I think it's needed across campus https://t.co/HZcSosqsqM
WhoIsHLM,"Welcome to Aggieland, prospective students and parents. Utilize today to get your questions about #NCAT answered."
WhoIsHLM,Great conversation on @DiverseIssues - what minority HS students need to know about college. Good for all students. https://t.co/m0iY522hjh
WhoIsHLM,#NCAT is partnering w/ Wayne County CC to allow students to move easily to our @ncatcaes programs. Read more here: https://t.co/4CTUiMqpEo
WhoIsHLM,Congrats to all #NCAT students participating in today's undergraduate research symposium. Special thanks to faculty mentors. #AggiesInnovate
WhoIsHLM,"Congratulations to #NCAT Senior Zainab Ali, our latest Fulbright Fellow. Learn more about her here: https://t.co/NbeOYbanxR #AggiesAchieve"
WhoIsHLM,"Congratulations to Dr. Shengmin Sang, winner of the inaugural Innovation for Impact competition! #AggiesInnovate https://t.co/9JXONGI6mK"
WhoIsHLM,"Join us Thurs. for a great talk from astrophysicist, TV host (Discovery, Science Ch.), NASA educator @HakeemOluseyi. https://t.co/k23wsSOe3j"
WhoIsHLM,"Students, registration begins Monday for this fall. Be sure to visit with your advisors and make wise decisions about your classes. #NCAT"
WhoIsHLM,Three of 5 finalists for @SBIBioScience's Innovation for Impact award are #NCAT researchers. #AggiesResearch https://t.co/obMiXL12w1
WhoIsHLM,I am excited to have @TheSharkDaymond kickoff my Chancellor's Speaker Series on Apr 27. Make plans to join us! #NCAT https://t.co/sW1y6PddxP
WhoIsHLM,Exciting news at #NCAT: Applications are now being accepted for our new Online MBA program. Read more here: https://t.co/L3pLjLUuL2
WhoIsHLM,Congratulations to @NCATCOBE1's Dean Beryl McEwen on being named one of @TriadBizJournal's Outstanding Women in Business! #AggiesLead
WhoIsHLM,"Future Aggies: Join us Sat., April 8, at our Spring Open House. Tour campus, meet w/Admissions staff &amp  more! #NCAT https://t.co/EEAPF3px3L"
